,word,tf,idf,tfidf
3657,second,32356,2.541612365339036,1170.2434065171537
2074,includes,25236,2.100534095757709,1061.6695428725432
1246,device,25673,2.597825828004395,1059.2753526536317
1131,data,27373,2.8823170557942457,1001.1096633370338
2537,method,19993,2.337371827406878,982.6118050999837
1954,having,16630,2.4342448946774433,838.9974635263445
3775,signal,17886,3.234385853816905,749.8043982831323
3202,provided,12921,2.5977269893584043,740.0435461124139
2314,layer,17097,3.4340814555824344,737.0652367255619
3011,plurality,14207,2.935049557759104,728.0578530547882
2236,invention,10049,2.973301345651448,684.0476145921073
487,based,11079,2.9240316801542,653.7124305650772
4039,surface,12283,3.2236090865675506,643.8122221209073
2118,information,12463,3.331210349804383,637.2069005252505
996,control,12240,3.203302891720186,634.1388052996834
339,apparatus,10675,3.019835064703288,629.8524450329402
3055,portion,12797,3.2693637590142464,627.4140481740877
742,circuit,11606,3.4639482432028115,587.1789793457084
2037,image,11506,3.777741874151532,547.720558256729
4318,user,9993,3.592422777376251,540.3294005786474
